TableName;TableDescription;ColumnName;ColumnDescription
HFAGENP;Agent;GHACRE;Date de creation - annee
HFAGENP;Agent;GHAMAJ;Date de derniere mise a jour - annee
HFAGENP;Agent;GHCTAG;Code type d'agent
HFAGENP;Agent;GHCUAG;Code utilisateur Reflex de l'agent
HFAGENP;Agent;GHCUCR;Code utilisateur creation
HFAGENP;Agent;GHCUMJ;Code utilisateur derniere mise a jour
HFAGENP;Agent;GHDCRE;Date de creation
HFAGENP;Agent;GHDMAJ;Date de derniere mise a jour
HFAGENP;Agent;GHDSCS;Delai de scrutation en secondes
HFAGENP;Agent;GHHCRE;Heure de creation
HFAGENP;Agent;GHHMAJ;Heure de derniere mise a jour
HFAGENP;Agent;GHJCRE;Date de creation - jour
HFAGENP;Agent;GHJMAJ;Date de derniere mise a jour - jour
HFAGENP;Agent;GHLJCR;Libelle du jour de creation
HFAGENP;Agent;GHLJMJ;Libelle du jour de derniere mise a jour
HFAGENP;Agent;GHMCRE;Date de creation - mois
HFAGENP;Agent;GHMMAJ;Date de derniere mise a jour - mois
HFAGENP;Agent;GHNAGE;Numero d'agent
HFAGENP;Agent;GHNCOM;Numero de commentaire
HFAGENP;Agent;GHNFEV;Nom fichier environnement
HFAGENP;Agent;GHPPTR;Parametres du programme de traitement
HFAGENP;Agent;GHSCRE;Date de creation - siecle
HFAGENP;Agent;GHSMAJ;Date de derniere mise a jour - siecle
HFAGENP;Agent;GHTOPD;Top desactivation
HFAGENP;Agent;GHTSDA;Date-heure dernier passage dans le traitement
HFANENP;Annee environnement;NJANEN;Annee environnement
HFARCTP;Archivage des travaux soumis - systeme;EJCATO;Code archivage des travaux soumis
HFARCTP;Archivage des travaux soumis - systeme;EJLATO;Libelle archivage des travaux soumis
HFCNNXP;Connexions Reflex;NXACRE;Date de creation - annee
HFCNNXP;Connexions Reflex;NXACXD;Annee debut connexion
HFCNNXP;Connexions Reflex;NXACXF;Annee fin connexion
HFCNNXP;Connexions Reflex;NXAMAJ;Date de derniere mise a jour - annee
HFCNNXP;Connexions Reflex;NXCACT;Code activite
HFCNNXP;Connexions Reflex;NXCDPO;Code depot physique
HFCNNXP;Connexions Reflex;NXCSNM;Identifiant session connexion mere
HFCNNXP;Connexions Reflex;NXCSRV;Code serveur exploitation
HFCNNXP;Connexions Reflex;NXCSSN;Identifiant session
HFCNNXP;Connexions Reflex;NXCUCR;Code utilisateur creation
HFCNNXP;Connexions Reflex;NXCUMJ;Code utilisateur derniere mise a jour
HFCNNXP;Connexions Reflex;NXCUTI;Code utilisateur
HFCNNXP;Connexions Reflex;NXWUIDAPP;Wuid Application
HFCNNXP;Connexions Reflex;NXDCRE;Date de creation
HFCNNXP;Connexions Reflex;NXDMAJ;Date de derniere mise a jour
HFCNNXP;Connexions Reflex;NXWUIDSES;Wuid Session
HFCNNXP;Connexions Reflex;NXTSDERAC;"Zone non alimentee; ne pas l'utiliser"
HFCNNXP;Connexions Reflex;NXHCRE;Heure de creation
HFCNNXP;Connexions Reflex;NXHCXD;Heure  debut connexion
HFCNNXP;Connexions Reflex;NXHCXF;Heure fin connexion
HFCNNXP;Connexions Reflex;NXHMAJ;Heure de derniere mise a jour
HFCNNXP;Connexions Reflex;NXJCRE;Date de creation - jour
HFCNNXP;Connexions Reflex;NXJCXD;Jour debut connexion
HFCNNXP;Connexions Reflex;NXJCXF;Jour fin connexion
HFCNNXP;Connexions Reflex;NXJMAJ;Date de derniere mise a jour - jour
HFCNNXP;Connexions Reflex;NXLJCR;Libelle du jour de creation
HFCNNXP;Connexions Reflex;NXLJMJ;Libelle du jour de derniere mise a jour
HFCNNXP;Connexions Reflex;NXLPMC;Libelle pgm en cours
HFCNNXP;Connexions Reflex;NXMCRE;Date de creation - mois
HFCNNXP;Connexions Reflex;NXMCXD;Mois debut connexion
HFCNNXP;Connexions Reflex;NXMCXF;Mois fin connexion
HFCNNXP;Connexions Reflex;NXMMAJ;Date de derniere mise a jour - mois
HFCNNXP;Connexions Reflex;NXNOMI;Nom instance BD (Oracle)
HFCNNXP;Connexions Reflex;NXNTHR;Numero thread partie serveur java
HFCNNXP;Connexions Reflex;NXNUIN;Numero instance BD (Oracle)
HFCNNXP;Connexions Reflex;NXIDNOEUD;Id Noeud
HFCNNXP;Connexions Reflex;NXPGMC;Code pgm chaine en cours
HFCNNXP;Connexions Reflex;NXPIDC;N de processus client
HFCNNXP;Connexions Reflex;NXPIDS;N du processus serveur
HFCNNXP;Connexions Reflex;NXPOSC;Poste client
HFCNNXP;Connexions Reflex;NXSCRE;Date de creation - siecle
HFCNNXP;Connexions Reflex;NXSCXD;Siecle debut connexion
HFCNNXP;Connexions Reflex;NXSCXF;Siecle fin connexion
HFCNNXP;Connexions Reflex;NXSMAJ;Date de derniere mise a jour - siecle
HFCNNXP;Connexions Reflex;NXSPID;N processus BD
HFCNNXP;Connexions Reflex;NXSRVC;"Machine serveur client (RF; citrix)"
HFCNNXP;Connexions Reflex;NXTCEC;Top connexion en cours (active)
HFCNNXP;Connexions Reflex;NXTCER;Top connexion en erreur
HFCNNXP;Connexions Reflex;NXTCNX;Type de connexion
HFDSFIP;Description des fichiers;DFNCIN;Nom de la zone Code interne
HFDSFIP;Description des fichiers;DFNFIC;Nom du fichier
HFDSFIP;Description des fichiers;DFNLI3;Nom de la zone Libelle 3
HFDSFIP;Description des fichiers;DFNLIB;Nom de la zone Libelle
HFDSFIP;Description des fichiers;DFPSEL;Code programme de selection
HFECDEP;Ecarts detailles;J8ACRE;Date de creation - annee
HFECDEP;Ecarts detailles;J8AMAJ;Date de derniere mise a jour - annee
HFECDEP;Ecarts detailles;J8ANCA;Annee inventaire
HFECDEP;Ecarts detailles;J8C1EC;Code 1 emplacement inventaire
HFECDEP;Ecarts detailles;J8C2EC;Code 2 emplacement inventaire
HFECDEP;Ecarts detailles;J8C3EC;Code 3 emplacement inventaire
HFECDEP;Ecarts detailles;J8C4EC;Code 4 emplacement inventaire
HFECDEP;Ecarts detailles;J8C5EC;Code 5 emplacement inventaire
HFECDEP;Ecarts detailles;J8CACT;Code activite
HFECDEP;Ecarts detailles;J8CART;Code article
HFECDEP;Ecarts detailles;J8CDPO;Code depot physique
HFECDEP;Ecarts detailles;J8CINV;Code inventaire
HFECDEP;Ecarts detailles;J8CPCR;Code programme creation
HFECDEP;Ecarts detailles;J8CPMJ;Code programme derniere mise a jour
HFECDEP;Ecarts detailles;J8CRBA;Code reference de base article
HFECDEP;Ecarts detailles;J8CUCR;Code utilisateur creation
HFECDEP;Ecarts detailles;J8CUMJ;Code utilisateur derniere mise a jour
HFECDEP;Ecarts detailles;J8CVLA;Code variante logistique article
HFECDEP;Ecarts detailles;J8CZIV;Code zone d'inventaire
HFECDEP;Ecarts detailles;J8DCRE;Date de creation
HFECDEP;Ecarts detailles;J8DINV;Date inventaire
HFECDEP;Ecarts detailles;J8DMAJ;Date de derniere mise a jour
HFECDEP;Ecarts detailles;J8HCRE;Heure de creation
HFECDEP;Ecarts detailles;J8HMAJ;Heure de derniere mise a jour
HFECDEP;Ecarts detailles;J8JCRE;Date de creation - jour
HFECDEP;Ecarts detailles;J8JMAJ;Date de derniere mise a jour - jour
HFECDEP;Ecarts detailles;J8JOCA;Jour inventaire
HFECDEP;Ecarts detailles;J8LJCR;Libelle (3) du jour de creation
HFECDEP;Ecarts detailles;J8LJIV;Libelle jour inventaire
HFECDEP;Ecarts detailles;J8LJMJ;Libelle (3) du jour de derniere mise a jour
HFECDEP;Ecarts detailles;J8MCRE;Date de creation - mois
HFECDEP;Ecarts detailles;J8MMAJ;Date de derniere mise a jour - mois
HFECDEP;Ecarts detailles;J8MOCA;Mois inventaire
HFECDEP;Ecarts detailles;J8MTDE;Montant ecart valorise detaille
HFECDEP;Ecarts detailles;J8NANN;Numero d'annee
HFECDEP;Ecarts detailles;J8NDEC;Numero demande calcul d'ecarts
HFECDEP;Ecarts detailles;J8NEMP;Numero emplacement
HFECDEP;Ecarts detailles;J8NSUP;Numero du support
HFECDEP;Ecarts detailles;J8Q1CM;Quantite comptable niveau 1
HFECDEP;Ecarts detailles;J8Q1EC;Quantite ecart niveau 1
HFECDEP;Ecarts detailles;J8Q1PH;Quantite physique niveau 1
HFECDEP;Ecarts detailles;J8Q1RE;Quantite relevee niveau1
HFECDEP;Ecarts detailles;J8Q2CM;Quantite comptable niveau 2
HFECDEP;Ecarts detailles;J8Q2EC;Quantite ecart niveau 2
HFECDEP;Ecarts detailles;J8Q2PH;Quantite physique niveau 2
HFECDEP;Ecarts detailles;J8Q2RE;Quantite relevee niveau 2
HFECDEP;Ecarts detailles;J8Q3CM;Quantite comptable niveau 3
HFECDEP;Ecarts detailles;J8Q3EC;Quantite ecart niveau 3
HFECDEP;Ecarts detailles;J8Q3PH;Quantite physique niveau 3
HFECDEP;Ecarts detailles;J8Q3RE;Quantite relevee niveau 3
HFECDEP;Ecarts detailles;J8QBCM;Quantite comptable en VL de base
HFECDEP;Ecarts detailles;J8QBEC;Quantite ecart en VL de base
HFECDEP;Ecarts detailles;J8QBPH;Quantite physique en VL de base
HFECDEP;Ecarts detailles;J8QBRE;Quantite relevee en VL de base
HFECDEP;Ecarts detailles;J8QGCM;Quantite comptable en VL de gestion
HFECDEP;Ecarts detailles;J8QGEC;Quantite ecart en VL de gestion
HFECDEP;Ecarts detailles;J8QGPH;Quantite physique en VL de gestion
HFECDEP;Ecarts detailles;J8QGRE;Quantite relevee en VL de gestion
HFECDEP;Ecarts detailles;J8SCRE;Date de creation - siecle
HFECDEP;Ecarts detailles;J8SMAJ;Date de derniere mise a jour - siecle
HFECDEP;Ecarts detailles;J8SSCA;Siecle inventaire
HFECENP;Entete des demandes de calcul d'ecarts;JEACRE;Date de creation - annee
HFECENP;Entete des demandes de calcul d'ecarts;JEADEC;Annee demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEAMAJ;Date de derniere mise a jour - annee
HFECENP;Entete des demandes de calcul d'ecarts;JECPCR;Code programme creation
HFECENP;Entete des demandes de calcul d'ecarts;JECPMJ;Code programme derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JECUCR;Code utilisateur creation
HFECENP;Entete des demandes de calcul d'ecarts;JECUMJ;Code utilisateur derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JECUTI;Code utilisateur
HFECENP;Entete des demandes de calcul d'ecarts;JEDCRE;Date de creation
HFECENP;Entete des demandes de calcul d'ecarts;JEDDEC;Date demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEDMAJ;Date de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEEMIN;Ecart minimum
HFECENP;Entete des demandes de calcul d'ecarts;JEHCRE;Heure de creation
HFECENP;Entete des demandes de calcul d'ecarts;JEHDEC;Heure demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JEHMAJ;Heure de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEJCRE;Date de creation - jour
HFECENP;Entete des demandes de calcul d'ecarts;JEJDEC;Jour demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JEJMAJ;Date de derniere mise a jour - jour
HFECENP;Entete des demandes de calcul d'ecarts;JELJCE;Libelle (3) du jour calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JELJCR;Libelle (3) du jour de creation
HFECENP;Entete des demandes de calcul d'ecarts;JELJMJ;Libelle (3) du jour de derniere mise a jour
HFECENP;Entete des demandes de calcul d'ecarts;JEMCRE;Date de creation - mois
HFECENP;Entete des demandes de calcul d'ecarts;JEMDEC;Mois demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JEMMAJ;Date de derniere mise a jour - mois
HFECENP;Entete des demandes de calcul d'ecarts;JENANN;Numero d'annee
HFECENP;Entete des demandes de calcul d'ecarts;JENDEC;Numero demande calcul d'ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JESCRE;Date de creation - siecle
HFECENP;Entete des demandes de calcul d'ecarts;JESDEC;Siecle demande calcul d'ecart
HFECENP;Entete des demandes de calcul d'ecarts;JESMAJ;Date de derniere mise a jour - siecle
HFECENP;Entete des demandes de calcul d'ecarts;JETESK;Top ecart sur stock
HFECENP;Entete des demandes de calcul d'ecarts;JETIME;Top impression des ecarts
HFECENP;Entete des demandes de calcul d'ecarts;JETMAQ;Top mode d'affichage des quantites
HFECENP;Entete des demandes de calcul d'ecarts;JETTRI;Top tri
HFECINP;Liste des inventaires selectionnes;J1ACRE;Date de creation - annee
HFECINP;Liste des inventaires selectionnes;J1AMAJ;Date de derniere mise a jour - annee
HFECINP;Liste des inventaires selectionnes;J1ANCA;Annee inventaire
HFECINP;Liste des inventaires selectionnes;J1CDPO;Code depot physique
HFECINP;Liste des inventaires selectionnes;J1CINV;Code inventaire
HFECINP;Liste des inventaires selectionnes;J1CPCR;Code programme creation
HFECINP;Liste des inventaires selectionnes;J1CPMJ;Code programme derniere mise a jour
HFECINP;Liste des inventaires selectionnes;J1CUCR;Code utilisateur creation
